dataset,ratio,max_data_num,predict_data_num,k,delta,metric,value
GIGAWORD,32,51200,1638400,4,3,PearCorr,0.9353
GIGAWORD,64,25600,1638400,4,3,PearCorr,0.9211
GIGAWORD,128,12800,1638400,4,3,PearCorr,0.901
GIGAWORD,256,6400,1638400,4,3,PearCorr,0.9152
GIGAWORD,512,3200,1638400,4,3,PearCorr,0.8859
GIGAWORD,8,204800,1638400,4,4,PearCorr,0.9834
GIGAWORD,16,102400,1638400,4,4,PearCorr,0.9786
GIGAWORD,32,51200,1638400,4,4,PearCorr,0.932
GIGAWORD,64,25600,1638400,4,4,PearCorr,0.9112
GIGAWORD,128,12800,1638400,4,4,PearCorr,0.902
GIGAWORD,256,6400,1638400,4,4,PearCorr,0.9146
GIGAWORD,512,3200,1638400,4,4,PearCorr,0.8859
GIGAWORD,8,204800,1638400,4,5,PearCorr,0.9805
GIGAWORD,16,102400,1638400,4,5,PearCorr,0.9767
GIGAWORD,32,51200,1638400,4,5,PearCorr,0.9351
GIGAWORD,64,25600,1638400,4,5,PearCorr,0.91
GIGAWORD,128,12800,1638400,4,5,PearCorr,0.8986
GIGAWORD,256,6400,1638400,4,5,PearCorr,0.9149
GIGAWORD,512,3200,1638400,4,5,PearCorr,0.8859
GIGAWORD,8,204800,1638400,5,1,PearCorr,0.9891
GIGAWORD,16,102400,1638400,5,1,PearCorr,0.95
GIGAWORD,32,51200,1638400,5,1,PearCorr,0.9209
GIGAWORD,64,25600,1638400,5,1,PearCorr,0.8869
GIGAWORD,128,12800,1638400,5,1,PearCorr,0.9048
GIGAWORD,256,6400,1638400,5,1,PearCorr,0.9002
GIGAWORD,512,3200,1638400,5,1,PearCorr,0.8742
GIGAWORD,8,204800,1638400,5,2,PearCorr,0.9888
GIGAWORD,16,102400,1638400,5,2,PearCorr,0.9494
GIGAWORD,32,51200,1638400,5,2,PearCorr,0.9365
GIGAWORD,64,25600,1638400,5,2,PearCorr,0.8825
GIGAWORD,128,12800,1638400,5,2,PearCorr,0.9033
GIGAWORD,256,6400,1638400,5,2,PearCorr,0.9002
GIGAWORD,512,3200,1638400,5,2,PearCorr,0.8742
GIGAWORD,8,204800,1638400,5,3,PearCorr,0.9864
GIGAWORD,16,102400,1638400,5,3,PearCorr,0.9466
GIGAWORD,32,51200,1638400,5,3,PearCorr,0.9306
GIGAWORD,64,25600,1638400,5,3,PearCorr,0.9101
GIGAWORD,128,12800,1638400,5,3,PearCorr,0.9023
GIGAWORD,256,6400,1638400,5,3,PearCorr,0.9002
GIGAWORD,512,3200,1638400,5,3,PearCorr,0.8742
