dataset,model,our_rmsd_under_log,vanilla_rmsd_under_log
FLAN,cerebras/Cerebras-GPT-2.7B,0.0030186519005970824,0.0033047060717959495
FLAN,facebook/bart-base,0.007265976626215464,0.05057271066863968
FLAN,facebook/bart-large,0.012897612644353955,0.03878341550994435
FLAN,facebook/bart-large-cnn,0.011470496883492255,0.011376211215829768
FLAN,facebook/bart-large-xsum,0.00903191822890851,0.03571292867512329
FLAN,facebook/opt-1.3b,0.0023992537843375624,0.016444422145678567
FLAN,facebook/opt-2.7b,0.005164074840614122,0.007182603656798819
FLAN,facebook/opt-350m,0.007779948775285248,0.04778193263704806
FLAN,facebook/opt-6.7b,0.00246394293766044,0.0026185334715867377
FLAN,gpt2-large,0.005628139582722054,0.05931234870949151
FLAN,gpt2-medium,0.0037670066285604652,0.06764566909000982
FLAN,gpt2,0.0074741701986837,0.0697230820202339
FLAN,gpt2-xl,0.006388801321627106,0.06136795484378693
FLAN,t5-base,0.007843494820905482,0.03163043923075582
FLAN,t5-small,0.0038543775407403873,0.024074787070868624
FLAN,microsoft/phi-2,0.006046865572469192,0.0197105206605988
FLAN,microsoft/phi-1_5,0.01124510548194899,0.03633078514998185
FLAN,google/switch-base-16,0.008805227423259017,0.028352723945111166
FLAN,google/switch-base-32,0.010260600298484902,0.030677351675467906
FLAN,google/switch-base-8,0.007315168260846359,0.029786284011905365
FLAN,google/mt5-base,0.0035455124866919053,0.013649086281438605
FLAN,google/mt5-large,0.0027497317819082144,0.01186362936241904
FLAN,ai-forever/mGPT,0.0035159942485458607,0.00502478285598018
FLAN,google/t5-v1_1-base,0.006946597785058163,0.04555419184434036
