dataset,ratio,max_data_num,predict_data_num,metric,method,value,size_constraint
FLAN,64,25600,1638400,RelAcc,ModelSize,0.5957,7000000000.0
FLAN,128,12800,1638400,PearCorr,AtS,0.5218,7000000000.0
FLAN,128,12800,1638400,RelAcc,AtS,0.8534,7000000000.0
FLAN,128,12800,1638400,PearCorr,ZeroShot,-0.1071,7000000000.0
FLAN,128,12800,1638400,RelAcc,ZeroShot,0.8534,7000000000.0
FLAN,128,12800,1638400,PearCorr,SubTuning,0.2455,7000000000.0
FLAN,128,12800,1638400,RelAcc,SubTuning,0.5957,7000000000.0
FLAN,128,12800,1638400,PearCorr,ModelSize,-0.2088,7000000000.0
FLAN,128,12800,1638400,RelAcc,ModelSize,0.5957,7000000000.0
FLAN,256,6400,1638400,PearCorr,AtS,0.5054,7000000000.0
FLAN,256,6400,1638400,RelAcc,AtS,0.9318,7000000000.0
FLAN,256,6400,1638400,PearCorr,ZeroShot,-0.1071,7000000000.0
FLAN,256,6400,1638400,RelAcc,ZeroShot,0.8534,7000000000.0
FLAN,256,6400,1638400,PearCorr,SubTuning,0.2086,7000000000.0
FLAN,256,6400,1638400,RelAcc,SubTuning,0.5957,7000000000.0
FLAN,256,6400,1638400,PearCorr,ModelSize,-0.2088,7000000000.0
FLAN,256,6400,1638400,RelAcc,ModelSize,0.5957,7000000000.0
FLAN,512,3200,1638400,PearCorr,AtS,0.4556,7000000000.0
FLAN,512,3200,1638400,RelAcc,AtS,0.9318,7000000000.0
FLAN,512,3200,1638400,PearCorr,ZeroShot,-0.1071,7000000000.0
FLAN,512,3200,1638400,RelAcc,ZeroShot,0.8534,7000000000.0
FLAN,512,3200,1638400,PearCorr,SubTuning,0.1638,7000000000.0
FLAN,512,3200,1638400,RelAcc,SubTuning,0.5957,7000000000.0
FLAN,512,3200,1638400,PearCorr,ModelSize,-0.2088,7000000000.0
FLAN,512,3200,1638400,RelAcc,ModelSize,0.5957,7000000000.0
WMT19,8,204800,1638400,PearCorr,AtS,0.9876,1900000000.0
WMT19,8,204800,1638400,RelAcc,AtS,0.9909,1900000000.0
WMT19,8,204800,1638400,PearCorr,ZeroShot,0.2262,1900000000.0
WMT19,8,204800,1638400,RelAcc,ZeroShot,0.2146,1900000000.0
WMT19,8,204800,1638400,PearCorr,SubTuning,0.9411,1900000000.0
WMT19,8,204800,1638400,RelAcc,SubTuning,0.9909,1900000000.0
WMT19,8,204800,1638400,PearCorr,ModelSize,0.3106,1900000000.0
WMT19,8,204800,1638400,RelAcc,ModelSize,0.8494,1900000000.0
WMT19,16,102400,1638400,PearCorr,AtS,0.9723,1900000000.0
WMT19,16,102400,1638400,RelAcc,AtS,0.9909,1900000000.0
WMT19,16,102400,1638400,PearCorr,ZeroShot,0.2262,1900000000.0
WMT19,16,102400,1638400,RelAcc,ZeroShot,0.2146,1900000000.0
WMT19,16,102400,1638400,PearCorr,SubTuning,0.8862,1900000000.0
WMT19,16,102400,1638400,RelAcc,SubTuning,0.9909,1900000000.0
WMT19,16,102400,1638400,PearCorr,ModelSize,0.3106,1900000000.0
WMT19,16,102400,1638400,RelAcc,ModelSize,0.8494,1900000000.0
WMT19,32,51200,1638400,PearCorr,AtS,0.9729,1900000000.0
WMT19,32,51200,1638400,RelAcc,AtS,0.9477,1900000000.0
WMT19,32,51200,1638400,PearCorr,ZeroShot,0.2262,1900000000.0
WMT19,32,51200,1638400,RelAcc,ZeroShot,0.2146,1900000000.0
WMT19,32,51200,1638400,PearCorr,SubTuning,0.7975,1900000000.0
WMT19,32,51200,1638400,RelAcc,SubTuning,0.9909,1900000000.0
WMT19,32,51200,1638400,PearCorr,ModelSize,0.3106,1900000000.0
WMT19,32,51200,1638400,RelAcc,ModelSize,0.8494,1900000000.0
WMT19,64,25600,1638400,PearCorr,AtS,0.8412,1900000000.0
WMT19,64,25600,1638400,RelAcc,AtS,0.9909,1900000000.0
WMT19,64,25600,1638400,PearCorr,ZeroShot,0.2262,1900000000.0
WMT19,64,25600,1638400,RelAcc,ZeroShot,0.2146,1900000000.0
WMT19,64,25600,1638400,PearCorr,SubTuning,0.6738,1900000000.0
WMT19,64,25600,1638400,RelAcc,SubTuning,0.9909,1900000000.0
WMT19,64,25600,1638400,PearCorr,ModelSize,0.3106,1900000000.0
WMT19,64,25600,1638400,RelAcc,ModelSize,0.8494,1900000000.0
WMT19,128,12800,1638400,PearCorr,AtS,0.7787,1900000000.0
WMT19,128,12800,1638400,RelAcc,AtS,0.9909,1900000000.0
WMT19,128,12800,1638400,PearCorr,ZeroShot,0.2262,1900000000.0
WMT19,128,12800,1638400,RelAcc,ZeroShot,0.2146,1900000000.0
WMT19,128,12800,1638400,PearCorr,SubTuning,0.5553,1900000000.0
WMT19,128,12800,1638400,RelAcc,SubTuning,0.9909,1900000000.0
WMT19,128,12800,1638400,PearCorr,ModelSize,0.3106,1900000000.0
WMT19,128,12800,1638400,RelAcc,ModelSize,0.8494,1900000000.0
WMT19,256,6400,1638400,PearCorr,AtS,0.7387,1900000000.0
WMT19,256,6400,1638400,RelAcc,AtS,0.9909,1900000000.0
WMT19,256,6400,1638400,PearCorr,ZeroShot,0.2262,1900000000.0
WMT19,256,6400,1638400,RelAcc,ZeroShot,0.2146,1900000000.0
WMT19,256,6400,1638400,PearCorr,SubTuning,0.46,1900000000.0
WMT19,256,6400,1638400,RelAcc,SubTuning,0.9909,1900000000.0
WMT19,256,6400,1638400,PearCorr,ModelSize,0.3106,1900000000.0
WMT19,256,6400,1638400,RelAcc,ModelSize,0.8494,1900000000.0
WMT19,512,3200,1638400,PearCorr,AtS,0.6221,1900000000.0
WMT19,512,3200,1638400,RelAcc,AtS,0.9909,1900000000.0
WMT19,512,3200,1638400,PearCorr,ZeroShot,0.2262,1900000000.0
WMT19,512,3200,1638400,RelAcc,ZeroShot,0.2146,1900000000.0
WMT19,512,3200,1638400,PearCorr,SubTuning,0.3931,1900000000.0
WMT19,512,3200,1638400,RelAcc,SubTuning,0.9909,1900000000.0
WMT19,512,3200,1638400,PearCorr,ModelSize,0.3106,1900000000.0
